time,temp_rtd [°C],temp_r [°C],temp_p [°C],humi_r [%],pressure_r [hPa],pressure_p [hPa]
2020-05-17 15:48:29,51.5855,51.2282,53.1454,18.6226,1012.7440,1013.5528
2020-05-17 15:48:34,51.5210,51.1934,53.0825,18.6837,1012.7095,1013.5401
2020-05-17 15:48:39,51.4567,51.1585,53.0197,18.7613,1012.7252,1013.5672
2020-05-17 15:48:44,51.3926,51.1234,52.9570,18.8218,1012.8186,1013.4920
2020-05-17 15:48:49,51.3288,51.0882,52.8945,18.8826,1012.7645,1013.5265
2020-05-17 15:48:54,51.2651,51.0528,52.8320,18.9298,1012.7246,1013.4737
2020-05-17 15:48:59,51.2017,51.0171,52.7697,19.0273,1012.7370,1013.5306
2020-05-17 15:49:05,51.1385,50.9814,52.7075,19.0504,1012.7525,1013.4902
2020-05-17 15:49:10,51.0756,50.9455,52.6455,19.1357,1012.7092,1013.5745
2020-05-17 15:49:15,51.0128,50.9096,52.5836,19.1700,1012.7221,1013.4717
2020-05-17 15:49:20,50.9503,50.8735,52.5218,19.2467,1012.6711,1013.4935
2020-05-17 15:49:25,50.8880,50.8374,52.4602,19.2999,1012.7142,1013.4556
2020-05-17 15:49:30,50.8259,50.8011,52.3988,19.3407,1012.7102,1013.5123
2020-05-17 15:49:35,50.7640,50.7648,52.3375,19.4374,1012.7113,1013.5265
2020-05-17 15:49:40,50.7023,50.7284,52.2763,19.4532,1012.7047,1013.4761
2020-05-17 15:49:46,50.6408,50.6919,52.2154,19.5065,1012.6560,1013.5176
2020-05-17 15:49:51,50.5795,50.6553,52.1545,19.5790,1012.7401,1013.4920
2020-05-17 15:49:56,50.5185,50.6186,52.0938,19.6422,1012.7032,1013.5237
2020-05-17 15:50:01,50.4576,50.5818,52.0333,19.7085,1012.7040,1013.4357
2020-05-17 15:50:06,50.3970,50.5449,51.9730,19.7620,1012.7023,1013.5345
2020-05-17 15:50:11,50.3365,50.5078,51.9128,19.8207,1012.6980,1013.5087
2020-05-17 15:50:17,50.2763,50.4706,51.8527,19.8990,1012.6987,1013.4330
2020-05-17 15:50:21,50.2163,50.4334,51.7928,19.9451,1012.6557,1013.5467
2020-05-17 15:50:27,50.1564,50.3961,51.7330,20.0168,1012.6731,1013.5085
2020-05-17 15:50:32,50.0968,50.3588,51.6734,20.0685,1012.6939,1013.4826
2020-05-17 15:50:37,50.0374,50.3215,51.6139,20.1156,1012.7281,1013.5640
2020-05-17 15:50:42,49.9783,50.2840,51.5547,20.1922,1012.7236,1013.5578
2020-05-17 15:50:47,49.9193,50.2465,51.4956,20.2502,1012.7636,1013.5469
2020-05-17 15:50:52,49.8605,50.2089,51.4367,20.3209,1012.7229,1013.5236
2020-05-17 15:50:58,49.8020,50.1713,51.3779,20.3741,1012.7208,1013.4976
2020-05-17 15:51:03,49.7437,50.1337,51.3193,20.4368,1012.6920,1013.5638
2020-05-17 15:51:08,49.6856,50.0961,51.2609,20.4827,1012.7319,1013.5057
2020-05-17 15:51:13,49.6277,50.0584,51.2027,20.5486,1012.7874,1013.5021
2020-05-17 15:51:18,49.5700,50.0206,51.1446,20.6012,1012.8020,1013.5382
2020-05-17 15:51:23,49.5126,49.9828,51.0867,20.6521,1012.7371,1013.4875
2020-05-17 15:51:29,49.4552,49.9449,51.0289,20.7296,1012.8285,1013.5310
2020-05-17 15:51:34,49.3981,49.9071,50.9714,20.7754,1012.7576,1013.5226
2020-05-17 15:51:39,49.3412,49.8691,50.9140,20.8399,1012.7167,1013.5162
2020-05-17 15:51:44,49.2845,49.8313,50.8567,20.8854,1012.7647,1013.4456
2020-05-17 15:51:49,49.2280,49.7934,50.7996,20.9367,1012.7105,1013.5163
2020-05-17 15:51:55,49.1717,49.7554,50.7427,21.0079,1012.6996,1013.4655
2020-05-17 15:52:00,49.1155,49.7173,50.6859,21.0533,1012.6923,1013.6209
2020-05-17 15:52:05,49.0596,49.6793,50.6293,21.1170,1012.6765,1013.5201
2020-05-17 15:52:10,49.0039,49.6412,50.5729,21.1938,1012.7015,1013.5314
2020-05-17 15:52:15,48.9485,49.6031,50.5166,21.2459,1012.6412,1013.5427
2020-05-17 15:52:21,48.8932,49.5649,50.4605,21.2978,1012.6446,1013.5464
2020-05-17 15:52:26,48.8381,49.5267,50.4046,21.3623,1012.7331,1013.5030
2020-05-17 15:52:31,48.7832,49.4886,50.3489,21.4244,1012.7401,1013.5885
2020-05-17 15:52:36,48.7285,49.4504,50.2933,21.4761,1012.6882,1013.5376
2020-05-17 15:52:41,48.6740,49.4122,50.2379,21.5641,1012.7106,1013.5412
2020-05-17 15:52:46,48.6198,49.3741,50.1826,21.5974,1012.6755,1013.5401
2020-05-17 15:52:52,48.5656,49.3359,50.1275,21.6486,1012.6955,1013.5287
2020-05-17 15:52:57,48.5117,49.2977,50.0727,21.6881,1012.6795,1013.5003
2020-05-17 15:53:02,48.4581,49.2596,50.0179,21.7508,1012.6887,1013.4766
2020-05-17 15:53:07,48.4046,49.2214,49.9634,21.8146,1012.6834,1013.5375
2020-05-17 15:53:12,48.3513,49.1833,49.9091,21.8840,1012.7501,1013.5758
2020-05-17 15:53:18,48.2982,49.1451,49.8549,21.9722,1012.6727,1013.5990
2020-05-17 15:53:23,48.2453,49.1068,49.8009,22.0231,1012.7562,1013.6054
2020-05-17 15:53:28,48.1926,49.0686,49.7470,22.0751,1012.6872,1013.4801
2020-05-17 15:53:34,48.1402,49.0303,49.6934,22.1625,1012.7453,1013.4986
2020-05-17 15:53:38,48.0879,48.9921,49.6399,22.1887,1012.7161,1013.4702
2020-05-17 15:53:43,48.0358,48.9539,49.5866,22.2593,1012.7871,1013.5507
2020-05-17 15:53:49,47.9838,48.9157,49.5334,22.3149,1012.7472,1013.5268
2020-05-17 15:53:54,47.9320,48.8776,49.4804,22.3838,1012.7669,1013.5180
2020-05-17 15:54:00,47.8805,48.8394,49.4276,22.4417,1012.6702,1013.5364
2020-05-17 15:54:05,47.8291,48.8012,49.3750,22.5174,1012.6837,1013.5549
2020-05-17 15:54:10,47.7779,48.7630,49.3225,22.5734,1012.6545,1013.3629
2020-05-17 15:54:16,47.7269,48.7248,49.2701,22.6502,1012.7083,1013.4207
2020-05-17 15:54:20,47.6760,48.6866,49.2180,22.6938,1012.7235,1013.5555
2020-05-17 15:54:25,47.6254,48.6484,49.1660,22.7628,1012.7897,1013.5270
2020-05-17 15:54:31,47.5749,48.6102,49.1142,22.7960,1012.6907,1013.5528
2020-05-17 15:54:36,47.5246,48.5721,49.0625,22.8824,1012.7186,1013.4698
2020-05-17 15:54:42,47.4745,48.5340,49.0110,22.9264,1012.6893,1013.5003
2020-05-17 15:54:47,47.4246,48.4960,48.9597,22.9648,1012.7257,1013.5684
2020-05-17 15:54:52,47.3749,48.4580,48.9086,23.0207,1012.7238,1013.5201
2020-05-17 15:54:58,47.3253,48.4200,48.8576,23.0960,1012.7180,1013.5580
2020-05-17 15:55:03,47.2759,48.3820,48.8068,23.1529,1012.7565,1013.5596
2020-05-17 15:55:08,47.2267,48.3441,48.7562,23.1908,1012.6995,1013.5038
2020-05-17 15:55:13,47.1777,48.3062,48.7057,23.2603,1012.7677,1013.4797
2020-05-17 15:55:18,47.1288,48.2684,48.6553,23.3222,1012.7574,1013.5674
2020-05-17 15:55:24,47.0801,48.2306,48.6052,23.3659,1012.8189,1013.5613
2020-05-17 15:55:29,47.0317,48.1928,48.5552,23.4161,1012.8001,1013.5719
2020-05-17 15:55:34,46.9833,48.1551,48.5053,23.4776,1012.7516,1013.5433
2020-05-17 15:55:40,46.9352,48.1175,48.4557,23.5348,1012.7730,1013.5221
2020-05-17 15:55:45,46.8872,48.0799,48.4061,23.5903,1012.8345,1013.5704
2020-05-17 15:55:50,46.8394,48.0424,48.3568,23.6226,1012.8156,1013.5765
2020-05-17 15:55:56,46.7918,48.0049,48.3076,23.7214,1012.7270,1013.5251
2020-05-17 15:56:01,46.7443,47.9673,48.2586,23.7718,1012.7546,1013.5462
2020-05-17 15:56:06,46.6971,47.9299,48.2097,23.8217,1012.6892,1013.4782
2020-05-17 15:56:11,46.6500,47.8924,48.1610,23.8843,1012.7548,1013.5310
2020-05-17 15:56:16,46.6030,47.8551,48.1125,23.9094,1012.8141,1013.5762
